

# Contour value=5.00 
mST_GeV,deltaM_GeV
8.2917e+02,4.5044e+02
8.2936e+02,4.5152e+02
8.2955e+02,4.5261e+02
8.2975e+02,4.5369e+02
8.2994e+02,4.5477e+02
8.3013e+02,4.5585e+02
8.3026e+02,4.5659e+02
8.3032e+02,4.5693e+02
8.3051e+02,4.5802e+02
8.3071e+02,4.5910e+02
8.3090e+02,4.6018e+02
8.3109e+02,4.6126e+02
8.3128e+02,4.6234e+02
8.3148e+02,4.6343e+02
8.3167e+02,4.6451e+02
8.3187e+02,4.6559e+02
8.3208e+02,4.6667e+02
8.3228e+02,4.6776e+02
8.3249e+02,4.6884e+02
8.3271e+02,4.6992e+02
8.3292e+02,4.7100e+02
8.3313e+02,4.7208e+02
8.3335e+02,4.7317e+02
8.3356e+02,4.7425e+02
8.3377e+02,4.7533e+02
8.3399e+02,4.7641e+02
8.3420e+02,4.7749e+02
8.3441e+02,4.7858e+02
8.3463e+02,4.7966e+02
8.3484e+02,4.8074e+02
8.3505e+02,4.8182e+02
8.3526e+02,4.8291e+02
8.3548e+02,4.8399e+02
8.3567e+02,4.8497e+02
8.3569e+02,4.8507e+02
8.3590e+02,4.8615e+02
8.3612e+02,4.8723e+02
8.3633e+02,4.8832e+02
8.3654e+02,4.8940e+02
8.3676e+02,4.9048e+02
8.3697e+02,4.9156e+02
8.3718e+02,4.9265e+02
8.3740e+02,4.9373e+02
8.3761e+02,4.9481e+02
8.3782e+02,4.9589e+02
8.3803e+02,4.9697e+02
8.3825e+02,4.9806e+02
8.3846e+02,4.9914e+02
8.3867e+02,5.0022e+02
8.3889e+02,5.0130e+02
8.3910e+02,5.0238e+02
8.3931e+02,5.0347e+02
8.3953e+02,5.0455e+02
8.3974e+02,5.0563e+02
8.3995e+02,5.0671e+02
8.4017e+02,5.0780e+02
8.4038e+02,5.0888e+02
8.4059e+02,5.0996e+02
8.4080e+02,5.1104e+02
8.4102e+02,5.1212e+02
8.4108e+02,5.1245e+02
8.4123e+02,5.1321e+02
8.4144e+02,5.1429e+02
8.4166e+02,5.1537e+02
8.4187e+02,5.1645e+02
8.4208e+02,5.1754e+02
8.4230e+02,5.1862e+02
8.4251e+02,5.1970e+02
8.4272e+02,5.2078e+02
8.4294e+02,5.2186e+02
8.4315e+02,5.2295e+02
8.4336e+02,5.2403e+02
8.4357e+02,5.2511e+02
8.4379e+02,5.2619e+02
8.4398e+02,5.2727e+02
8.4415e+02,5.2836e+02
