

# Contour value=10.00 
mST_GeV,deltaM_GeV
6.8987e+02,3.9905e+02
6.8962e+02,4.0151e+02
6.8918e+02,4.0397e+02
6.8874e+02,4.0643e+02
6.8841e+02,4.0889e+02
6.8808e+02,4.1136e+02
6.8774e+02,4.1382e+02
6.8739e+02,4.1628e+02
6.8703e+02,4.1874e+02
6.8671e+02,4.2121e+02
6.8643e+02,4.2367e+02
6.8616e+02,4.2613e+02
6.8589e+02,4.2859e+02
6.8562e+02,4.3106e+02
6.8535e+02,4.3352e+02
6.8508e+02,4.3598e+02
6.8481e+02,4.3844e+02
6.8453e+02,4.4090e+02
6.8426e+02,4.4337e+02
6.8399e+02,4.4583e+02
6.8372e+02,4.4829e+02
6.8345e+02,4.5075e+02
6.8318e+02,4.5322e+02
6.8291e+02,4.5568e+02
6.8264e+02,4.5814e+02
6.8236e+02,4.6060e+02
6.8209e+02,4.6307e+02
6.8182e+02,4.6553e+02
6.8155e+02,4.6799e+02
6.8128e+02,4.7045e+02
6.8101e+02,4.7291e+02
6.8074e+02,4.7538e+02
6.8047e+02,4.7784e+02
6.8019e+02,4.8030e+02
6.7992e+02,4.8276e+02
6.7990e+02,4.8297e+02
6.7965e+02,4.8523e+02
6.7938e+02,4.8769e+02
6.7911e+02,4.9015e+02
6.7884e+02,4.9261e+02
6.7857e+02,4.9508e+02
6.7829e+02,4.9754e+02
6.7802e+02,5.0000e+02


# Contour value=15.00 
mST_GeV,deltaM_GeV
8.0006e+02,1.0000e+01
8.0048e+02,1.2462e+01
8.0092e+02,1.4925e+01
8.0136e+02,1.7387e+01
8.0180e+02,1.9849e+01
8.0201e+02,2.1008e+01
8.0224e+02,2.2312e+01
8.0268e+02,2.4774e+01
8.0309e+02,2.7236e+01
8.0350e+02,2.9698e+01
8.0391e+02,3.2161e+01
8.0432e+02,3.4623e+01
8.0473e+02,3.7085e+01
8.0514e+02,3.9548e+01
8.0555e+02,4.2010e+01
8.0596e+02,4.4472e+01
8.0638e+02,4.6935e+01
8.0684e+02,4.9397e+01
8.0756e+02,5.1859e+01
8.0832e+02,5.4322e+01
8.0909e+02,5.6784e+01
8.0984e+02,5.9246e+01
8.1059e+02,6.1709e+01
8.1134e+02,6.4171e+01
8.1209e+02,6.6633e+01
8.1284e+02,6.9095e+01
8.1359e+02,7.1558e+01
8.1434e+02,7.4020e+01
8.1509e+02,7.6482e+01
8.1558e+02,7.8086e+01
8.1584e+02,7.8945e+01
8.1659e+02,8.1407e+01
8.1734e+02,8.3869e+01
8.1809e+02,8.6332e+01
8.1884e+02,8.8794e+01
8.1959e+02,9.1256e+01
8.2034e+02,9.3719e+01
8.2109e+02,9.6181e+01
8.2184e+02,9.8643e+01
8.2227e+02,1.0111e+02
8.2232e+02,1.0357e+02
8.2236e+02,1.0603e+02
8.2241e+02,1.0849e+02
8.2246e+02,1.1095e+02
8.2250e+02,1.1342e+02
8.2255e+02,1.1588e+02
8.2259e+02,1.1834e+02
8.2264e+02,1.2080e+02
8.2269e+02,1.2327e+02
8.2273e+02,1.2573e+02
8.2278e+02,1.2819e+02
8.2283e+02,1.3065e+02
8.2287e+02,1.3312e+02
8.2292e+02,1.3558e+02
8.2297e+02,1.3804e+02
8.2301e+02,1.4050e+02
8.2306e+02,1.4296e+02
8.2311e+02,1.4543e+02
8.2315e+02,1.4789e+02
8.2320e+02,1.5035e+02
8.2325e+02,1.5281e+02
8.2329e+02,1.5528e+02
8.2334e+02,1.5774e+02
8.2339e+02,1.6020e+02
8.2343e+02,1.6266e+02
8.2348e+02,1.6513e+02
8.2353e+02,1.6759e+02
8.2357e+02,1.7005e+02
8.2366e+02,1.7251e+02
8.2377e+02,1.7497e+02
8.2388e+02,1.7744e+02
8.2399e+02,1.7990e+02
8.2411e+02,1.8236e+02
8.2423e+02,1.8482e+02
8.2439e+02,1.8729e+02
8.2455e+02,1.8975e+02
8.2470e+02,1.9221e+02
8.2486e+02,1.9467e+02
8.2501e+02,1.9714e+02
8.2517e+02,1.9960e+02
8.2548e+02,2.0206e+02
8.2582e+02,2.0452e+02
8.2616e+02,2.0698e+02
8.2650e+02,2.0945e+02
8.2684e+02,2.1191e+02
8.2718e+02,2.1437e+02
8.2753e+02,2.1683e+02
8.2789e+02,2.1930e+02
8.2823e+02,2.2176e+02
8.2857e+02,2.2422e+02
8.2889e+02,2.2668e+02
8.2915e+02,2.2868e+02
8.2921e+02,2.2915e+02
8.2976e+02,2.3161e+02
8.3030e+02,2.3407e+02
8.3081e+02,2.3653e+02
8.3132e+02,2.3899e+02
8.3180e+02,2.4146e+02
8.3230e+02,2.4392e+02
8.3281e+02,2.4638e+02
8.3333e+02,2.4884e+02
8.3384e+02,2.5131e+02
8.3436e+02,2.5377e+02
8.3487e+02,2.5623e+02
8.3539e+02,2.5869e+02
8.3590e+02,2.6116e+02
8.3642e+02,2.6362e+02
8.3693e+02,2.6608e+02
8.3745e+02,2.6854e+02
8.3796e+02,2.7101e+02
8.3848e+02,2.7347e+02
8.3899e+02,2.7593e+02
8.3951e+02,2.7839e+02
8.4002e+02,2.8085e+02
8.4054e+02,2.8332e+02
8.4105e+02,2.8578e+02
8.4157e+02,2.8824e+02
8.4209e+02,2.9070e+02
8.4260e+02,2.9317e+02
8.4271e+02,2.9371e+02
8.4312e+02,2.9563e+02
8.4363e+02,2.9809e+02
8.4407e+02,3.0055e+02
8.4424e+02,3.0302e+02
8.4441e+02,3.0548e+02
8.4459e+02,3.0794e+02
8.4476e+02,3.1040e+02
8.4493e+02,3.1286e+02
8.4511e+02,3.1533e+02
8.4528e+02,3.1779e+02
8.4545e+02,3.2025e+02
8.4562e+02,3.2271e+02
8.4580e+02,3.2518e+02
8.4597e+02,3.2764e+02
8.4614e+02,3.3010e+02
8.4632e+02,3.3256e+02
8.4649e+02,3.3503e+02
8.4666e+02,3.3749e+02
8.4684e+02,3.3995e+02
8.4701e+02,3.4241e+02
8.4724e+02,3.4487e+02
8.4748e+02,3.4734e+02
8.4771e+02,3.4980e+02
8.4794e+02,3.5226e+02
8.4817e+02,3.5472e+02
8.4841e+02,3.5719e+02
8.4867e+02,3.5965e+02
8.4893e+02,3.6211e+02
8.4920e+02,3.6457e+02
8.4946e+02,3.6704e+02
8.4972e+02,3.6950e+02
8.4998e+02,3.7196e+02
8.5025e+02,3.7442e+02
8.5051e+02,3.7688e+02
8.5077e+02,3.7935e+02
8.5104e+02,3.8181e+02
8.5130e+02,3.8427e+02
8.5156e+02,3.8673e+02
8.5183e+02,3.8920e+02
8.5209e+02,3.9166e+02
8.5235e+02,3.9412e+02
8.5262e+02,3.9658e+02
8.5288e+02,3.9905e+02
8.5322e+02,4.0151e+02
8.5361e+02,4.0397e+02
8.5400e+02,4.0643e+02
8.5439e+02,4.0889e+02
8.5478e+02,4.1136e+02
8.5517e+02,4.1382e+02
8.5556e+02,4.1628e+02
8.5595e+02,4.1874e+02
8.5628e+02,4.2087e+02
8.5634e+02,4.2121e+02
8.5672e+02,4.2367e+02
8.5711e+02,4.2613e+02
8.5750e+02,4.2859e+02
8.5789e+02,4.3106e+02
8.5828e+02,4.3352e+02
8.5867e+02,4.3598e+02
8.5906e+02,4.3844e+02
8.5945e+02,4.4090e+02
8.5984e+02,4.4337e+02
8.6023e+02,4.4583e+02
8.6062e+02,4.4829e+02
8.6101e+02,4.5075e+02
8.6140e+02,4.5322e+02
8.6179e+02,4.5568e+02
8.6203e+02,4.5814e+02
8.6224e+02,4.6060e+02
8.6246e+02,4.6307e+02
8.6269e+02,4.6553e+02
8.6294e+02,4.6799e+02
8.6315e+02,4.7045e+02
8.6322e+02,4.7291e+02
8.6329e+02,4.7538e+02
8.6336e+02,4.7784e+02
8.6330e+02,4.8030e+02
8.6321e+02,4.8276e+02
8.6309e+02,4.8523e+02
8.6282e+02,4.8769e+02
8.6255e+02,4.9015e+02
8.6228e+02,4.9261e+02
8.6200e+02,4.9508e+02
8.6173e+02,4.9754e+02
8.6146e+02,5.0000e+02


# Contour value=20.00 
mST_GeV,deltaM_GeV
1.0661e+03,1.0000e+01
1.0663e+03,1.2462e+01
1.0666e+03,1.4925e+01
1.0669e+03,1.7387e+01
1.0671e+03,1.9849e+01
1.0674e+03,2.2312e+01
1.0677e+03,2.4774e+01
1.0682e+03,2.7236e+01
1.0687e+03,2.9698e+01
1.0692e+03,3.2161e+01
1.0697e+03,3.4623e+01
1.0704e+03,3.7085e+01
1.0710e+03,3.9548e+01
1.0717e+03,4.2010e+01
1.0723e+03,4.4472e+01
1.0729e+03,4.6935e+01
1.0734e+03,4.8638e+01
1.0736e+03,4.9397e+01
1.0740e+03,5.1859e+01
1.0743e+03,5.4322e+01
1.0746e+03,5.6784e+01
1.0749e+03,5.9246e+01
1.0753e+03,6.1709e+01
1.0756e+03,6.4171e+01
1.0759e+03,6.6633e+01
1.0762e+03,6.9095e+01
1.0765e+03,7.1558e+01
1.0769e+03,7.4020e+01
1.0772e+03,7.6482e+01
1.0775e+03,7.8945e+01
1.0778e+03,8.1407e+01
1.0782e+03,8.3869e+01
1.0785e+03,8.6332e+01
1.0791e+03,8.8794e+01
1.0797e+03,9.1256e+01
1.0803e+03,9.3719e+01
1.0811e+03,9.6181e+01
1.0819e+03,9.8643e+01
1.0825e+03,1.0111e+02
1.0828e+03,1.0357e+02
1.0831e+03,1.0603e+02
1.0834e+03,1.0849e+02
1.0837e+03,1.1095e+02
1.0840e+03,1.1342e+02
1.0843e+03,1.1588e+02
1.0846e+03,1.1834e+02
1.0850e+03,1.2080e+02
1.0853e+03,1.2327e+02
1.0856e+03,1.2573e+02
1.0859e+03,1.2819e+02
1.0862e+03,1.3065e+02
1.0865e+03,1.3312e+02
1.0868e+03,1.3558e+02
1.0869e+03,1.3651e+02
1.0871e+03,1.3804e+02
1.0874e+03,1.4050e+02
1.0878e+03,1.4296e+02
1.0881e+03,1.4543e+02
1.0884e+03,1.4789e+02
1.0887e+03,1.5035e+02
1.0890e+03,1.5281e+02
1.0893e+03,1.5528e+02
1.0896e+03,1.5774e+02
1.0899e+03,1.6020e+02
1.0902e+03,1.6266e+02
1.0906e+03,1.6513e+02
1.0909e+03,1.6759e+02
1.0912e+03,1.7005e+02
1.0915e+03,1.7251e+02
1.0918e+03,1.7497e+02
1.0921e+03,1.7744e+02
1.0924e+03,1.7990e+02
1.0927e+03,1.8236e+02
1.0931e+03,1.8482e+02
1.0934e+03,1.8729e+02
1.0935e+03,1.8975e+02
1.0937e+03,1.9221e+02
1.0940e+03,1.9467e+02
1.0942e+03,1.9714e+02
1.0944e+03,1.9960e+02
1.0947e+03,2.0206e+02
1.0951e+03,2.0452e+02
1.0955e+03,2.0698e+02
1.0958e+03,2.0945e+02
1.0962e+03,2.1191e+02
1.0966e+03,2.1437e+02
1.0969e+03,2.1683e+02
1.0973e+03,2.1930e+02
1.0977e+03,2.2176e+02
1.0980e+03,2.2422e+02
1.0984e+03,2.2668e+02
1.0988e+03,2.2915e+02
1.0991e+03,2.3161e+02
1.0995e+03,2.3407e+02
1.0999e+03,2.3653e+02
1.1002e+03,2.3899e+02
1.1005e+03,2.4085e+02
1.1006e+03,2.4146e+02
1.1009e+03,2.4392e+02
1.1013e+03,2.4638e+02
1.1016e+03,2.4884e+02
1.1020e+03,2.5131e+02
1.1023e+03,2.5377e+02
1.1027e+03,2.5623e+02
1.1030e+03,2.5869e+02
1.1033e+03,2.6116e+02
1.1037e+03,2.6362e+02
1.1040e+03,2.6608e+02
1.1044e+03,2.6854e+02
1.1047e+03,2.7101e+02
1.1051e+03,2.7347e+02
1.1054e+03,2.7593e+02
1.1058e+03,2.7839e+02
1.1061e+03,2.8085e+02
1.1065e+03,2.8332e+02
1.1068e+03,2.8578e+02
1.1071e+03,2.8824e+02
1.1075e+03,2.9070e+02
1.1078e+03,2.9317e+02
1.1082e+03,2.9563e+02
1.1085e+03,2.9809e+02
1.1089e+03,3.0055e+02
1.1094e+03,3.0302e+02
1.1098e+03,3.0548e+02
1.1103e+03,3.0794e+02
1.1107e+03,3.1040e+02
1.1112e+03,3.1286e+02
1.1117e+03,3.1533e+02
1.1121e+03,3.1779e+02
1.1126e+03,3.2025e+02
1.1130e+03,3.2271e+02
1.1135e+03,3.2518e+02
1.1140e+03,3.2764e+02
1.1141e+03,3.2826e+02
1.1144e+03,3.3010e+02
1.1149e+03,3.3256e+02
1.1153e+03,3.3503e+02
1.1158e+03,3.3749e+02
1.1163e+03,3.3995e+02
1.1167e+03,3.4241e+02
1.1172e+03,3.4487e+02
1.1176e+03,3.4734e+02
1.1181e+03,3.4980e+02
1.1186e+03,3.5226e+02
1.1190e+03,3.5472e+02
1.1195e+03,3.5719e+02
1.1199e+03,3.5965e+02
1.1204e+03,3.6211e+02
1.1209e+03,3.6457e+02
1.1213e+03,3.6704e+02
1.1218e+03,3.6950e+02
1.1222e+03,3.7196e+02
1.1227e+03,3.7442e+02
1.1232e+03,3.7688e+02
1.1236e+03,3.7935e+02
1.1241e+03,3.8181e+02
1.1246e+03,3.8427e+02
1.1250e+03,3.8673e+02
1.1255e+03,3.8920e+02
1.1260e+03,3.9166e+02
1.1264e+03,3.9412e+02
1.1269e+03,3.9658e+02
1.1274e+03,3.9905e+02
1.1275e+03,4.0151e+02
1.1274e+03,4.0397e+02
1.1272e+03,4.0643e+02
1.1271e+03,4.0889e+02
1.1270e+03,4.1136e+02
1.1269e+03,4.1382e+02
1.1267e+03,4.1628e+02
1.1266e+03,4.1874e+02
1.1265e+03,4.2121e+02
1.1264e+03,4.2367e+02
1.1263e+03,4.2613e+02
1.1261e+03,4.2859e+02
1.1260e+03,4.3106e+02
1.1259e+03,4.3352e+02
1.1258e+03,4.3598e+02
