

# Contour value=10.00 
mST_GeV,deltaM_GeV
8.5132e+02,2.1352e+02
8.5208e+02,2.1623e+02
8.5285e+02,2.1894e+02
8.5361e+02,2.2166e+02
8.5430e+02,2.2437e+02
8.5496e+02,2.2709e+02
8.5561e+02,2.2980e+02
8.5626e+02,2.3251e+02
8.5628e+02,2.3261e+02
8.5690e+02,2.3523e+02
8.5755e+02,2.3794e+02
8.5820e+02,2.4065e+02
8.5884e+02,2.4337e+02
8.5949e+02,2.4608e+02
8.6014e+02,2.4879e+02
8.6078e+02,2.5151e+02
8.6141e+02,2.5422e+02
8.6205e+02,2.5693e+02
8.6269e+02,2.5965e+02
8.6332e+02,2.6236e+02
8.6396e+02,2.6508e+02
8.6461e+02,2.6779e+02
8.6527e+02,2.7050e+02
8.6593e+02,2.7322e+02
8.6660e+02,2.7593e+02
8.6727e+02,2.7864e+02
8.6794e+02,2.8136e+02
8.6861e+02,2.8407e+02
8.6928e+02,2.8678e+02
8.6985e+02,2.8907e+02
8.6995e+02,2.8950e+02
8.7062e+02,2.9221e+02
8.7129e+02,2.9492e+02
8.7196e+02,2.9764e+02
8.7263e+02,3.0035e+02
8.7325e+02,3.0307e+02
8.7387e+02,3.0578e+02
8.7449e+02,3.0849e+02
8.7511e+02,3.1121e+02
8.7573e+02,3.1392e+02
8.7635e+02,3.1663e+02
8.7697e+02,3.1935e+02
8.7759e+02,3.2206e+02
8.7821e+02,3.2477e+02
8.7883e+02,3.2749e+02
8.7945e+02,3.3020e+02
8.8007e+02,3.3291e+02
8.8069e+02,3.3563e+02
8.8130e+02,3.3834e+02
8.8191e+02,3.4106e+02
8.8249e+02,3.4377e+02
8.8305e+02,3.4648e+02
8.8342e+02,3.4828e+02
8.8361e+02,3.4920e+02
8.8423e+02,3.5191e+02
8.8487e+02,3.5462e+02
8.8552e+02,3.5734e+02
8.8617e+02,3.6005e+02
8.8681e+02,3.6276e+02
8.8746e+02,3.6548e+02
8.8811e+02,3.6819e+02
8.8875e+02,3.7090e+02
8.8940e+02,3.7362e+02
8.9005e+02,3.7633e+02
8.9069e+02,3.7905e+02
8.9134e+02,3.8176e+02
8.9198e+02,3.8447e+02
8.9263e+02,3.8719e+02
8.9328e+02,3.8990e+02
8.9392e+02,3.9261e+02
8.9457e+02,3.9533e+02
8.9522e+02,3.9804e+02
8.9582e+02,4.0075e+02
8.9632e+02,4.0347e+02
8.9683e+02,4.0618e+02
8.9698e+02,4.0698e+02
8.9735e+02,4.0889e+02
8.9786e+02,4.1161e+02
8.9837e+02,4.1432e+02
8.9888e+02,4.1704e+02
8.9939e+02,4.1975e+02
8.9991e+02,4.2246e+02
9.0042e+02,4.2518e+02
9.0093e+02,4.2789e+02
9.0144e+02,4.3060e+02
9.0195e+02,4.3332e+02
9.0247e+02,4.3603e+02
9.0298e+02,4.3874e+02
9.0349e+02,4.4146e+02
9.0400e+02,4.4417e+02
9.0451e+02,4.4688e+02
9.0502e+02,4.4960e+02
9.0554e+02,4.5231e+02
9.0606e+02,4.5503e+02
9.0658e+02,4.5774e+02
9.0710e+02,4.6045e+02
9.0762e+02,4.6317e+02
9.0813e+02,4.6588e+02
9.0865e+02,4.6859e+02
9.0917e+02,4.7131e+02
9.0969e+02,4.7402e+02
9.1021e+02,4.7673e+02
9.1055e+02,4.7855e+02
9.1072e+02,4.7945e+02
9.1124e+02,4.8216e+02
9.1176e+02,4.8487e+02
9.1228e+02,4.8759e+02
9.1281e+02,4.9030e+02
9.1336e+02,4.9302e+02
9.1395e+02,4.9573e+02
9.1460e+02,4.9844e+02
9.1525e+02,5.0116e+02
9.1589e+02,5.0387e+02
9.1652e+02,5.0658e+02
9.1711e+02,5.0930e+02
9.1772e+02,5.1201e+02
9.1828e+02,5.1472e+02
9.1884e+02,5.1744e+02
9.1939e+02,5.2015e+02
9.1995e+02,5.2286e+02
9.2051e+02,5.2558e+02
9.2106e+02,5.2829e+02
9.2162e+02,5.3101e+02
9.2218e+02,5.3372e+02
9.2274e+02,5.3643e+02
9.2329e+02,5.3915e+02
9.2385e+02,5.4186e+02
9.2412e+02,5.4318e+02
9.2441e+02,5.4457e+02
9.2496e+02,5.4729e+02
9.2552e+02,5.5000e+02


# Contour value=20.00 
mST_GeV,deltaM_GeV
1.0273e+03,1.0000e+01
1.0276e+03,1.2714e+01
1.0279e+03,1.5427e+01
1.0282e+03,1.8141e+01
1.0285e+03,2.0854e+01
1.0288e+03,2.3568e+01
1.0293e+03,2.6281e+01
1.0300e+03,2.8995e+01
1.0307e+03,3.1709e+01
1.0315e+03,3.4422e+01
1.0322e+03,3.7136e+01
1.0327e+03,3.8898e+01
1.0329e+03,3.9849e+01
1.0336e+03,4.2563e+01
1.0344e+03,4.5276e+01
1.0351e+03,4.7990e+01
1.0358e+03,5.0704e+01
1.0367e+03,5.3417e+01
1.0376e+03,5.6131e+01
1.0384e+03,5.8844e+01
1.0392e+03,6.1558e+01
1.0399e+03,6.4271e+01
1.0406e+03,6.6985e+01
1.0412e+03,6.9698e+01
1.0419e+03,7.2412e+01
1.0426e+03,7.5126e+01
1.0432e+03,7.7839e+01
1.0439e+03,8.0553e+01
1.0445e+03,8.3266e+01
1.0451e+03,8.5980e+01
1.0457e+03,8.8693e+01
1.0462e+03,9.1407e+01
1.0462e+03,9.1689e+01
1.0466e+03,9.4121e+01
1.0471e+03,9.6834e+01
1.0476e+03,9.9548e+01
1.0482e+03,1.0226e+02
1.0488e+03,1.0497e+02
1.0494e+03,1.0769e+02
1.0500e+03,1.1040e+02
1.0506e+03,1.1312e+02
1.0512e+03,1.1583e+02
1.0518e+03,1.1854e+02
1.0524e+03,1.2126e+02
1.0530e+03,1.2397e+02
1.0535e+03,1.2668e+02
1.0540e+03,1.2940e+02
1.0545e+03,1.3211e+02
1.0550e+03,1.3482e+02
1.0555e+03,1.3754e+02
1.0560e+03,1.4025e+02
