

# Contour value=2.00 
mST_GeV,deltaM_GeV
1.3822e+03,3.1314e+02
1.3823e+03,3.1343e+02
1.3826e+03,3.1441e+02
1.3829e+03,3.1539e+02
1.3832e+03,3.1637e+02
1.3836e+03,3.1735e+02
1.3839e+03,3.1834e+02
1.3842e+03,3.1932e+02
1.3845e+03,3.2030e+02
1.3849e+03,3.2128e+02
1.3852e+03,3.2226e+02
1.3855e+03,3.2325e+02
1.3858e+03,3.2423e+02
1.3861e+03,3.2521e+02
1.3865e+03,3.2619e+02
1.3868e+03,3.2717e+02
1.3871e+03,3.2816e+02
1.3874e+03,3.2914e+02
1.3876e+03,3.2953e+02
1.3878e+03,3.3012e+02
1.3881e+03,3.3110e+02
1.3884e+03,3.3208e+02
1.3887e+03,3.3307e+02
1.3891e+03,3.3405e+02
1.3894e+03,3.3503e+02
1.3897e+03,3.3601e+02
1.3900e+03,3.3699e+02
1.3904e+03,3.3798e+02
1.3907e+03,3.3896e+02
1.3910e+03,3.3994e+02
1.3913e+03,3.4092e+02
1.3917e+03,3.4190e+02
1.3920e+03,3.4289e+02
1.3923e+03,3.4387e+02
1.3926e+03,3.4485e+02
1.3930e+03,3.4583e+02
1.3930e+03,3.4593e+02
1.3933e+03,3.4681e+02
1.3936e+03,3.4780e+02
1.3939e+03,3.4878e+02
1.3943e+03,3.4976e+02
1.3946e+03,3.5074e+02
1.3949e+03,3.5172e+02
1.3952e+03,3.5271e+02
1.3955e+03,3.5369e+02
1.3959e+03,3.5467e+02
1.3962e+03,3.5565e+02
1.3965e+03,3.5663e+02
1.3968e+03,3.5762e+02
1.3972e+03,3.5860e+02
1.3975e+03,3.5958e+02
1.3978e+03,3.6056e+02
1.3981e+03,3.6154e+02
1.3984e+03,3.6232e+02
1.3985e+03,3.6253e+02
1.3988e+03,3.6351e+02
1.3991e+03,3.6449e+02
1.3994e+03,3.6547e+02
1.3997e+03,3.6645e+02
1.4001e+03,3.6743e+02
1.4004e+03,3.6842e+02
1.4007e+03,3.6940e+02
1.4010e+03,3.7038e+02
1.4013e+03,3.7136e+02
1.4017e+03,3.7234e+02
1.4020e+03,3.7333e+02
1.4023e+03,3.7431e+02
1.4026e+03,3.7529e+02
1.4029e+03,3.7627e+02
1.4033e+03,3.7725e+02
