

# Contour for yDM=12 
mST_GeV,mChi_GeV,yDM
1.2206e+03,9.9506e+02,1.5000e+01
1.2205e+03,9.9686e+02,1.5000e+01
1.2203e+03,9.9865e+02,1.5000e+01
1.2201e+03,1.0005e+03,1.5000e+01
1.2200e+03,1.0022e+03,1.5000e+01
1.2198e+03,1.0040e+03,1.5000e+01
1.2197e+03,1.0058e+03,1.5000e+01
1.2195e+03,1.0076e+03,1.5000e+01
1.2193e+03,1.0094e+03,1.5000e+01
1.2192e+03,1.0112e+03,1.5000e+01
1.2190e+03,1.0130e+03,1.5000e+01
1.2186e+03,1.0146e+03,1.5000e+01
1.2186e+03,1.0148e+03,1.5000e+01
1.2183e+03,1.0162e+03,1.5000e+01
1.2180e+03,1.0179e+03,1.5000e+01
1.2179e+03,1.0197e+03,1.5000e+01
1.2178e+03,1.0216e+03,1.5000e+01
1.2177e+03,1.0235e+03,1.5000e+01
1.2172e+03,1.0250e+03,1.5000e+01
1.2167e+03,1.0264e+03,1.5000e+01
1.2162e+03,1.0278e+03,1.5000e+01
1.2157e+03,1.0293e+03,1.5000e+01
1.2151e+03,1.0307e+03,1.5000e+01
1.2146e+03,1.0321e+03,1.5000e+01
1.2146e+03,1.0322e+03,1.5000e+01
1.2141e+03,1.0336e+03,1.5000e+01
1.2135e+03,1.0350e+03,1.5000e+01
1.2130e+03,1.0364e+03,1.5000e+01
1.2125e+03,1.0379e+03,1.5000e+01
1.2120e+03,1.0393e+03,1.5000e+01
1.2114e+03,1.0407e+03,1.5000e+01
1.2109e+03,1.0422e+03,1.5000e+01
1.2106e+03,1.0431e+03,1.5000e+01
1.2104e+03,1.0436e+03,1.5000e+01
1.2098e+03,1.0450e+03,1.5000e+01
1.2093e+03,1.0465e+03,1.5000e+01
1.2088e+03,1.0479e+03,1.5000e+01
1.2083e+03,1.0493e+03,1.5000e+01
1.2077e+03,1.0507e+03,1.5000e+01
1.2072e+03,1.0522e+03,1.5000e+01
1.2067e+03,1.0536e+03,1.5000e+01
1.2065e+03,1.0540e+03,1.5000e+01
1.2061e+03,1.0550e+03,1.5000e+01
1.2056e+03,1.0565e+03,1.5000e+01
1.2051e+03,1.0579e+03,1.5000e+01
1.2046e+03,1.0593e+03,1.5000e+01
1.2040e+03,1.0608e+03,1.5000e+01
1.2035e+03,1.0622e+03,1.5000e+01
1.2030e+03,1.0636e+03,1.5000e+01
1.2025e+03,1.0649e+03,1.5000e+01
1.2024e+03,1.0650e+03,1.5000e+01
1.2018e+03,1.0664e+03,1.5000e+01
1.2011e+03,1.0677e+03,1.5000e+01
1.2005e+03,1.0690e+03,1.5000e+01
1.1998e+03,1.0703e+03,1.5000e+01
1.1992e+03,1.0716e+03,1.5000e+01
1.1985e+03,1.0729e+03,1.5000e+01
1.1985e+03,1.0730e+03,1.5000e+01
1.1975e+03,1.0739e+03,1.5000e+01
1.1965e+03,1.0748e+03,1.5000e+01
1.1954e+03,1.0757e+03,1.5000e+01
1.1945e+03,1.0766e+03,1.5000e+01
1.1944e+03,1.0766e+03,1.5000e+01
1.1934e+03,1.0775e+03,1.5000e+01
1.1923e+03,1.0785e+03,1.5000e+01
1.1913e+03,1.0794e+03,1.5000e+01
1.1905e+03,1.0801e+03,1.5000e+01
1.1902e+03,1.0803e+03,1.5000e+01
