#: table_doi: 10.17182/hepdata.106115.v2/t3
#: name: Signal templates, ADD, Monojet
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_add,_monojet.yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: ADD | Extra dimensions | Graviton
#: keyword cmenergies: 13000.0
#: d,,,2
#: $M_{D}$ [TeV],,,10
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
570.0,550.0,590.0,649.62,32.585,-32.585
615.0,590.0,640.0,617.51,31.674,-31.674
665.0,640.0,690.0,557.86,30.185,-30.185
715.0,690.0,740.0,332.98,23.598,-23.598
765.0,740.0,790.0,309.57,22.174,-22.174
815.0,790.0,840.0,223.47,18.874,-18.874
870.0,840.0,900.0,241.97,19.803,-19.803
930.0,900.0,960.0,169.44,16.671,-16.671
990.0,960.0,1020.0,145.33,15.332,-15.332
1055.0,1020.0,1090.0,97.975,12.545,-12.545
1125.0,1090.0,1160.0,74.62,10.943,-10.943
1205.0,1160.0,1250.0,95.285,12.433,-12.433
1325.0,1250.0,1400.0,183.2,17.327,-17.327

#: d,,,3
#: $M_{D}$ [TeV],,,5
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,1568.0,29.755,-29.755
295.0,280.0,310.0,1213.4,26.015,-26.015
325.0,310.0,340.0,993.61,23.66,-23.66
355.0,340.0,370.0,812.39,21.37,-21.37
385.0,370.0,400.0,624.04,18.407,-18.407
415.0,400.0,430.0,533.22,17.221,-17.221
450.0,430.0,470.0,549.33,17.236,-17.236
490.0,470.0,510.0,416.4,14.916,-14.916
530.0,510.0,550.0,339.47,13.451,-13.451
570.0,550.0,590.0,273.12,12.102,-12.102
615.0,590.0,640.0,251.17,11.496,-11.496
665.0,640.0,690.0,199.34,10.313,-10.313
715.0,690.0,740.0,159.18,9.1936,-9.1936
765.0,740.0,790.0,128.26,8.2823,-8.2823
815.0,790.0,840.0,93.214,7.024,-7.024
870.0,840.0,900.0,102.78,7.3674,-7.3674
930.0,900.0,960.0,73.892,6.258,-6.258
990.0,960.0,1020.0,50.514,5.1869,-5.1869
1055.0,1020.0,1090.0,53.652,5.3511,-5.3511
1125.0,1090.0,1160.0,41.306,4.6895,-4.6895
1205.0,1160.0,1250.0,35.615,4.3735,-4.3735
1325.0,1250.0,1400.0,80.856,6.5756,-6.5756

#: d,,,4
#: $M_{D}$ [TeV],,,5
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,724.34,14.257,-14.257
295.0,280.0,310.0,586.03,13.053,-13.053
325.0,310.0,340.0,457.87,11.309,-11.309
355.0,340.0,370.0,382.56,10.143,-10.143
385.0,370.0,400.0,301.43,9.0851,-9.0851
415.0,400.0,430.0,238.84,7.8068,-7.8068
450.0,430.0,470.0,255.68,8.3184,-8.3184
490.0,470.0,510.0,217.9,7.3743,-7.3743
530.0,510.0,550.0,163.94,6.4155,-6.4155
570.0,550.0,590.0,146.35,6.0081,-6.0081
615.0,590.0,640.0,139.61,5.8139,-5.8139
665.0,640.0,690.0,107.02,5.2799,-5.2799
715.0,690.0,740.0,96.298,4.8153,-4.8153
765.0,740.0,790.0,63.686,3.9084,-3.9084
815.0,790.0,840.0,47.993,3.337,-3.337
870.0,840.0,900.0,46.574,3.3192,-3.3192
930.0,900.0,960.0,41.25,3.1222,-3.1222
990.0,960.0,1020.0,33.138,2.7841,-2.7841
1055.0,1020.0,1090.0,26.251,2.4518,-2.4518
1125.0,1090.0,1160.0,22.507,2.3092,-2.3092
1205.0,1160.0,1250.0,17.782,2.0097,-2.0097
1325.0,1250.0,1400.0,43.338,3.1507,-3.1507

#: d,,,5
#: $M_{D}$ [TeV],,,5
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,414.56,9.8048,-9.8048
295.0,280.0,310.0,327.46,7.618,-7.618
325.0,310.0,340.0,262.75,6.9207,-6.9207
355.0,340.0,370.0,201.59,5.8116,-5.8116
385.0,370.0,400.0,168.63,5.441,-5.441
415.0,400.0,430.0,141.08,5.0117,-5.0117
450.0,430.0,470.0,148.9,4.9297,-4.9297
490.0,470.0,510.0,117.46,4.3854,-4.3854
530.0,510.0,550.0,88.149,3.5554,-3.5554
570.0,550.0,590.0,79.073,3.3142,-3.3142
615.0,590.0,640.0,78.423,3.2113,-3.2113
665.0,640.0,690.0,59.058,2.8452,-2.8452
715.0,690.0,740.0,48.108,2.4494,-2.4494
765.0,740.0,790.0,43.449,2.4993,-2.4993
815.0,790.0,840.0,30.006,1.9023,-1.9023
870.0,840.0,900.0,27.953,1.8592,-1.8592
930.0,900.0,960.0,20.448,1.5698,-1.5698
990.0,960.0,1020.0,15.17,1.3453,-1.3453
1055.0,1020.0,1090.0,15.251,1.3477,-1.3477
1125.0,1090.0,1160.0,12.559,1.2236,-1.2236
1205.0,1160.0,1250.0,11.389,1.1707,-1.1707
1325.0,1250.0,1400.0,25.555,1.7494,-1.7494

#: d,,,6
#: $M_{D}$ [TeV],,,5
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,264.69,7.1966,-7.1966
295.0,280.0,310.0,201.24,5.5826,-5.5826
325.0,310.0,340.0,164.64,4.7899,-4.7899
355.0,340.0,370.0,139.35,4.6722,-4.6722
385.0,370.0,400.0,110.84,3.617,-3.617
415.0,400.0,430.0,85.228,3.0755,-3.0755
450.0,430.0,470.0,95.528,3.4089,-3.4089
490.0,470.0,510.0,76.67,2.9064,-2.9064
530.0,510.0,550.0,58.14,2.3343,-2.3343
570.0,550.0,590.0,44.95,2.1392,-2.1392
615.0,590.0,640.0,51.398,2.2241,-2.2241
665.0,640.0,690.0,34.779,1.7548,-1.7548
715.0,690.0,740.0,29.03,1.5375,-1.5375
765.0,740.0,790.0,22.48,1.3283,-1.3283
815.0,790.0,840.0,18.112,1.3068,-1.3068
870.0,840.0,900.0,16.746,1.0956,-1.0956
930.0,900.0,960.0,13.801,1.0037,-1.0037
990.0,960.0,1020.0,10.493,0.8778,-0.8778
1055.0,1020.0,1090.0,10.406,0.87769,-0.87769
1125.0,1090.0,1160.0,8.4054,0.77671,-0.77671
1205.0,1160.0,1250.0,6.6692,0.68892,-0.68892
1325.0,1250.0,1400.0,17.195,1.1152,-1.1152

#: d,,,2
#: $M_{D}$ [TeV],,,6
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,2181.6,43.773,-43.773
295.0,280.0,310.0,1694.1,38.941,-38.941
325.0,310.0,340.0,1334.6,35.169,-35.169
355.0,340.0,370.0,993.69,29.173,-29.173
385.0,370.0,400.0,750.3,25.147,-25.147
415.0,400.0,430.0,634.24,23.266,-23.266
450.0,430.0,470.0,634.43,22.411,-22.411
490.0,470.0,510.0,535.6,21.096,-21.096
530.0,510.0,550.0,409.89,18.417,-18.417
570.0,550.0,590.0,318.49,16.715,-16.715
615.0,590.0,640.0,304.1,15.603,-15.603
665.0,640.0,690.0,236.92,13.58,-13.58
715.0,690.0,740.0,183.01,11.921,-11.921
765.0,740.0,790.0,146.5,10.785,-10.785
815.0,790.0,840.0,108.69,9.2298,-9.2298
870.0,840.0,900.0,112.83,9.3805,-9.3805
930.0,900.0,960.0,72.973,7.5312,-7.5312
990.0,960.0,1020.0,52.411,6.4024,-6.4024
1055.0,1020.0,1090.0,54.47,6.4955,-6.4955
1125.0,1090.0,1160.0,46.137,6.0932,-6.0932
1205.0,1160.0,1250.0,35.332,5.2384,-5.2384
1325.0,1250.0,1400.0,77.053,7.7934,-7.7934

#: d,,,3
#: $M_{D}$ [TeV],,,6
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
265.0,250.0,280.0,629.41,11.934,-11.934
295.0,280.0,310.0,510.38,10.654,-10.654
325.0,310.0,340.0,393.54,9.3622,-9.3622
355.0,340.0,370.0,311.29,8.3401,-8.3401
385.0,370.0,400.0,255.28,7.4344,-7.4344
415.0,400.0,430.0,199.99,6.5897,-6.5897
450.0,430.0,470.0,205.13,6.6284,-6.6284
490.0,470.0,510.0,174.25,6.135,-6.135
530.0,510.0,550.0,136.81,5.3957,-5.3957
570.0,550.0,590.0,110.79,4.8223,-4.8223
615.0,590.0,640.0,102.19,4.6407,-4.6407
665.0,640.0,690.0,83.134,4.1753,-4.1753
715.0,690.0,740.0,60.748,3.5771,-3.5771
765.0,740.0,790.0,57.519,3.5012,-3.5012
815.0,790.0,840.0,43.657,3.0296,-3.0296
870.0,840.0,900.0,40.326,2.9049,-2.9049
930.0,900.0,960.0,31.332,2.5697,-2.5697
990.0,960.0,1020.0,23.662,2.2325,-2.2325
1055.0,1020.0,1090.0,21.329,2.1187,-2.1187
1125.0,1090.0,1160.0,18.517,1.9872,-1.9872
