#: table_doi: 10.17182/hepdata.106115.v2/t11
#: name: Yields (Monojet)
#: description: Background and data yields in the control and signal region bins. The prediction before ("prefit") and after the background only fit ("b-only") are given separately.
#: data_file: yields_(monojet).yaml
#: keyword cmenergies: 13000.0
#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,B-only
#: Process,,,Data
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield
570.0,550.0,590.0,36.734,5.203,-5.203
615.0,590.0,640.0,41.596,6.8742,-6.8742
665.0,640.0,690.0,22.057,3.301,-3.301
715.0,690.0,740.0,17.345,2.8008,-2.8008
765.0,740.0,790.0,11.494,2.021,-2.021
815.0,790.0,840.0,7.3101,1.5151,-1.5151
870.0,840.0,900.0,4.6549,1.1643,-1.1643
930.0,900.0,960.0,4.145,1.0845,-1.0845
990.0,960.0,1020.0,3.0254,1.1299,-1.1299
1055.0,1020.0,1090.0,0.014236,0.0044321,-0.0044321
1125.0,1090.0,1160.0,0.00024768,2.9354e-05,-2.9354e-05
1205.0,1160.0,1250.0,0.9093,0.38165,-0.38165
1325.0,1250.0,1400.0,0.77943,0.17329,-0.17329

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,WZ
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,283.65,34.554,-34.554
295.0,280.0,310.0,172.2,20.172,-20.172
325.0,310.0,340.0,115.27,13.571,-13.571
355.0,340.0,370.0,71.616,8.6535,-8.6535
385.0,370.0,400.0,54.533,6.4622,-6.4622
415.0,400.0,430.0,35.42,4.0759,-4.0759
450.0,430.0,470.0,35.029,4.1335,-4.1335
490.0,470.0,510.0,14.934,1.7451,-1.7451
530.0,510.0,550.0,16.064,2.1819,-2.1819
570.0,550.0,590.0,11.162,1.4315,-1.4315
615.0,590.0,640.0,11.943,1.9121,-1.9121
665.0,640.0,690.0,8.0335,1.2964,-1.2964
715.0,690.0,740.0,4.3288,0.66367,-0.66367
765.0,740.0,790.0,5.2304,0.94239,-0.94239
815.0,790.0,840.0,1.1848,0.24684,-0.24684
870.0,840.0,900.0,2.3159,0.59458,-0.59458
930.0,900.0,960.0,0.65394,0.17321,-0.17321
990.0,960.0,1020.0,0.58095,0.21474,-0.21474
1055.0,1020.0,1090.0,0.023635,0.0070153,-0.0070153
1125.0,1090.0,1160.0,1.1331,0.46604,-0.46604
1205.0,1160.0,1250.0,7.6167e-05,8.7522e-06,-8.7522e-06
1325.0,1250.0,1400.0,0.98871,0.2259,-0.2259

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,Z($\ell\ell$)+jets
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,3775.0,748.32,-748.32
295.0,280.0,310.0,1965.7,388.59,-388.59
325.0,310.0,340.0,1056.5,210.19,-210.19
355.0,340.0,370.0,581.95,114.6,-114.6
385.0,370.0,400.0,337.91,67.383,-67.383
415.0,400.0,430.0,203.74,40.458,-40.458
450.0,430.0,470.0,156.25,32.061,-32.061
490.0,470.0,510.0,86.266,17.562,-17.562
530.0,510.0,550.0,48.779,10.931,-10.931
570.0,550.0,590.0,30.037,6.4493,-6.4493
615.0,590.0,640.0,21.034,4.5206,-4.5206
665.0,640.0,690.0,13.148,3.0669,-3.0669
715.0,690.0,740.0,7.4113,1.5834,-1.5834
765.0,740.0,790.0,4.9637,1.2561,-1.2561
815.0,790.0,840.0,3.3547,0.85645,-0.85645
870.0,840.0,900.0,2.455,0.76169,-0.76169
930.0,900.0,960.0,1.5351,0.48971,-0.48971
990.0,960.0,1020.0,0.87566,0.35576,-0.35576
1055.0,1020.0,1090.0,0.73222,0.25998,-0.25998
1125.0,1090.0,1160.0,0.48648,0.22284,-0.22284
1205.0,1160.0,1250.0,0.47316,0.20906,-0.20906
1325.0,1250.0,1400.0,0.63322,0.1791,-0.1791

#: Data set year,,,2017
#: Category,,,Monojet
#: Region,,,Single muon
#: Fit,,,Prefit
#: Process,,,ZZ
Recoil [GeV],Recoil [GeV] LOW,Recoil [GeV] HIGH,Yield,Total +,Total -
265.0,250.0,280.0,14.271,1.925,-1.925
295.0,280.0,310.0,8.5351,1.1581,-1.1581
325.0,310.0,340.0,4.3592,0.60617,-0.60617
355.0,340.0,370.0,0.44903,0.062304,-0.062304
385.0,370.0,400.0,2.701,0.35972,-0.35972
