#: table_doi: 10.17182/hepdata.106115.v2/t18
#: name: Cut flow for Monojet, Fermion portal
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_fermion_portal.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.047334
$p_{T}^{miss} > 250$ GeV,0.0030915
$p_{T}^{miss}$ quality filters,0.0030915
Electron veto,0.0030727
Muon veto,0.0030727
Tau veto,0.0029784
B jet veto,0.0029784
Photon veto,0.0028842
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.0016023
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.0015646
Leading AK4 jet $p_{T} > 100$ GeV,0.0013196
Leading AK4 jet $\eta < 2.4$,0.0013196
Leading AK4 jet energy fractions,0.0013196
Mono-V overlap removal,0.0012442
HCAL mitigation (jets),0.0012442
HCAL mitigation ($\phi^{miss}$),0.0012442
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.0012442

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],600.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.9369
$p_{T}^{miss} > 250$ GeV,0.76985
$p_{T}^{miss}$ quality filters,0.76754
Electron veto,0.76275
Muon veto,0.7606
Tau veto,0.73661
B jet veto,0.73661
Photon veto,0.71742
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.60514
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.60489
Leading AK4 jet $p_{T} > 100$ GeV,0.60224
Leading AK4 jet $\eta < 2.4$,0.60224
Leading AK4 jet energy fractions,0.59824
Mono-V overlap removal,0.56455
HCAL mitigation (jets),0.53231
HCAL mitigation ($\phi^{miss}$),0.48613
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.48554

#: $m_{\Phi}$ [GeV],1000.0
#: $m_{\chi}$ [GeV],750.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.88709
$p_{T}^{miss} > 250$ GeV,0.61756
$p_{T}^{miss}$ quality filters,0.61661
Electron veto,0.61242
Muon veto,0.61106
Tau veto,0.5869
B jet veto,0.5869
Photon veto,0.57318
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.49838
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.49807
Leading AK4 jet $p_{T} > 100$ GeV,0.49452
Leading AK4 jet $\eta < 2.4$,0.49452
Leading AK4 jet energy fractions,0.49006
Mono-V overlap removal,0.45913
HCAL mitigation (jets),0.43365
HCAL mitigation ($\phi^{miss}$),0.37788
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.3776

#: $m_{\Phi}$ [GeV],1400.0
#: $m_{\chi}$ [GeV],350.0
#: $\lambda$,1.0
#: Mode,$\Phi\Phi\rightarrow \chi\chi j j$
#: Data-taking period,2018
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.88546
$p_{T}^{miss} > 250$ GeV,0.74523
$p_{T}^{miss}$ quality filters,0.7426
Electron veto,0.74029
Muon veto,0.73813
Tau veto,0.72052
B jet veto,0.72052
Photon veto,0.70854
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.61106
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.61069
Leading AK4 jet $p_{T} > 100$ GeV,0.60432
Leading AK4 jet $\eta < 2.4$,0.60432
Leading AK4 jet energy fractions,0.60113
Mono-V overlap removal,0.5686
HCAL mitigation (jets),0.54234
HCAL mitigation ($\phi^{miss}$),0.51187
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.51154

#: $m_{\Phi}$ [GeV],1800.0
#: $m_{\chi}$ [GeV],200.0
#: $\lambda$,1.0
#: Mode,$\chi\chi+j$
#: Data-taking period,2018
