#: table_doi: 10.17182/hepdata.106115.v2/t16
#: name: Simplified likelihood: covariance matrix (Mono-V)
#: description: Matrix of covariance coefficients between signal region bins. The coefficients are obtained from the background-only fit to the control regions, and serve as input to the simplified likelihood reinterpretation scheme.
#: data_file: simplified_likelihood:_covariance_matrix_(mono-v).yaml
#: keyword cmenergies: 13000.0
First Bin,Second Bin,Covariance
monovloose_2017_bin0,monovloose_2017_bin6,179.4153398
monovloose_2017_bin0,monovloose_2018_bin0,7386.987238
monovloose_2017_bin0,monovloose_2018_bin1,5591.773133
monovloose_2017_bin0,monovloose_2018_bin2,3014.135629
monovloose_2017_bin0,monovloose_2018_bin3,1936.835563
monovloose_2017_bin0,monovloose_2018_bin4,852.0944629
monovloose_2017_bin0,monovloose_2018_bin5,361.6185666
monovloose_2017_bin0,monovloose_2018_bin6,105.3434855
monovloose_2017_bin0,monovtight_2017_bin0,5275.721199
monovloose_2017_bin0,monovtight_2017_bin1,3277.287378
monovloose_2017_bin0,monovtight_2017_bin2,1779.963024
monovloose_2017_bin0,monovtight_2017_bin3,1499.675759
monovloose_2017_bin0,monovtight_2017_bin4,472.3886678
monovloose_2017_bin0,monovtight_2017_bin5,156.7070666
monovloose_2017_bin0,monovtight_2017_bin6,92.9534559
monovloose_2017_bin0,monovtight_2018_bin0,1633.50943
monovloose_2017_bin0,monovtight_2018_bin1,1105.574365
monovloose_2017_bin0,monovtight_2018_bin2,279.843879
monovloose_2017_bin0,monovtight_2018_bin3,410.443323
monovloose_2017_bin0,monovtight_2018_bin4,149.5007015
monovloose_2017_bin0,monovtight_2018_bin5,54.45201346
monovloose_2017_bin0,monovtight_2018_bin6,15.63192657
monovloose_2017_bin1,monovtau21_2016_bin0,-1157.810367
monovloose_2017_bin1,monovtau21_2016_bin1,335.9937579
monovloose_2017_bin1,monovtau21_2016_bin2,41.37957126
monovloose_2017_bin1,monovtau21_2016_bin3,-186.3281908
monovloose_2017_bin1,monovtau21_2016_bin4,-142.6559963
monovloose_2017_bin1,monovtau21_2016_bin5,15.0269912
monovloose_2017_bin1,monovtau21_2016_bin6,-17.88377489
