#: table_doi: 10.17182/hepdata.106115.v2/t6
#: name: Signal templates, DMsimp, spin-0, Mono-V ($\tau_{21}$)
#: description: Differential signal yields for various signal hypotheses.
#: data_file: signal_templates,_dmsimp,_spin-0,_mono-v_($\tau_{21}$).yaml
#: keyword observables: N
#: keyword reactions: P P --> INVISIBLE JET JET
#: keyword cmenergies: 13000.0
#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,100.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
375.0,350.0,400.0,0.77854,0.01935,-0.01935
450.0,400.0,500.0,0.9088,0.020888,-0.020888
550.0,500.0,600.0,0.37006,0.013247,-0.013247
675.0,600.0,750.0,0.15915,0.0087093,-0.0087093
875.0,750.0,1000.0,0.057965,0.0052601,-0.0052601

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,500.0
#: $m_{DM}$,,,50.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,34.568,0.83198,-0.83198
325.0,300.0,350.0,35.517,0.84665,-0.84665
375.0,350.0,400.0,26.12,0.72553,-0.72553
450.0,400.0,500.0,29.208,0.76434,-0.76434
550.0,500.0,600.0,9.7932,0.43987,-0.43987
675.0,600.0,750.0,3.9407,0.27785,-0.27785
875.0,750.0,1000.0,1.1793,0.15439,-0.15439

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,50.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,179.16,6.9726,-6.9726
325.0,300.0,350.0,140.87,6.194,-6.194
375.0,350.0,400.0,77.569,4.5792,-4.5792
450.0,400.0,500.0,68.119,4.3046,-4.3046
550.0,500.0,600.0,14.303,1.9699,-1.9699
675.0,600.0,750.0,6.8474,1.3554,-1.3554
875.0,750.0,1000.0,1.6463,0.67224,-0.67224

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,50.0
#: $m_{DM}$,,,20.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,181.99,6.9915,-6.9915
325.0,300.0,350.0,144.38,6.2453,-6.2453
375.0,350.0,400.0,82.686,4.7174,-4.7174
450.0,400.0,500.0,63.434,4.1398,-4.1398
550.0,500.0,600.0,17.865,2.2104,-2.2104
675.0,600.0,750.0,4.0486,1.0351,-1.0351
875.0,750.0,1000.0,0.6031,0.42647,-0.42647

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,50.0
#: $m_{DM}$,,,22.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,183.78,7.0419,-7.0419
325.0,300.0,350.0,149.5,6.3746,-6.3746
375.0,350.0,400.0,75.944,4.5479,-4.5479
450.0,400.0,500.0,67.928,4.2912,-4.2912
550.0,500.0,600.0,15.333,2.0486,-2.0486
675.0,600.0,750.0,5.4915,1.2144,-1.2144
875.0,750.0,1000.0,1.4067,0.62136,-0.62136

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,50.0
#: $m_{DM}$,,,28.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,14.374,0.4671,-0.4671
325.0,300.0,350.0,11.744,0.42198,-0.42198
375.0,350.0,400.0,6.7348,0.31965,-0.31965
450.0,400.0,500.0,6.1865,0.30657,-0.30657
550.0,500.0,600.0,1.9088,0.16923,-0.16923
675.0,600.0,750.0,0.60903,0.09536,-0.09536
875.0,750.0,1000.0,0.21037,0.056528,-0.056528

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,600.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,14.618,0.3504,-0.3504
325.0,300.0,350.0,15.86,0.36635,-0.36635
375.0,350.0,400.0,13.04,0.33173,-0.33173
450.0,400.0,500.0,14.786,0.35269,-0.35269
550.0,500.0,600.0,6.2054,0.22818,-0.22818
675.0,600.0,750.0,2.6961,0.14943,-0.14943
875.0,750.0,1000.0,0.62988,0.072377,-0.072377

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,700.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
#: Data-taking period,,,2016
Recoil (GeV),Recoil (GeV) LOW,Recoil (GeV) HIGH,Signal yield,Sample size +,Sample size -
275.0,250.0,300.0,7.5782,0.17296,-0.17296
325.0,300.0,350.0,8.1261,0.17939,-0.17939
375.0,350.0,400.0,6.6384,0.16188,-0.16188
450.0,400.0,500.0,7.8867,0.17607,-0.17607
550.0,500.0,600.0,3.625,0.11941,-0.11941
675.0,600.0,750.0,1.7921,0.083751,-0.083751
875.0,750.0,1000.0,0.62705,0.049824,-0.049824

#: Coupling type,,,Pseudoscalar
#: Production mode,,,DM + QCD jets
#: $m_{med}$,,,800.0
#: $m_{DM}$,,,1.0
#: $g_{q}$,,,1.0
#: $g_{DM}$,,,1.0
