#: table_doi: 10.17182/hepdata.106115.v2/t21
#: name: Cut flow for Monojet, DM, spin-0 mediator
#: description: Unweighted signal acceptance times efficiency at every cut stage. The requirements called "HCAL mitigation" refer to the requirements imposed in the 2018 data set in order to mitigate the localized failure of the HCAL detector.
#: data_file: cut_flow_for_monojet,_dm,_spin-0_mediator.yaml
#: keyword reactions: P P --> INVISIBLE JET
#: keyword phrases: Dark matter | DM | DMsimp | Simplified model
#: keyword cmenergies: 13000.0
#: Coupling,Scalar
#: Mode,$\chi\chi+j$
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.17082

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,200.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.67585
$p_{T}^{miss} > 250$ GeV,0.3511
$p_{T}^{miss}$ quality filters,0.35031
Electron veto,0.34322
Muon veto,0.33626
Tau veto,0.31994
B jet veto,0.31994
Photon veto,0.31811
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.28592
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.28513
Leading AK4 jet $p_{T} > 100$ GeV,0.27606
Leading AK4 jet $\eta < 2.4$,0.27606
Leading AK4 jet energy fractions,0.27347
Mono-V overlap removal,0.1792
HCAL mitigation (jets),0.1792
HCAL mitigation ($\phi^{miss}$),0.1792
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.17907

#: Coupling,Pseudoscalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,450.0
#: $m_{DM}$,1.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
Cut stage,Fraction of passing events
Full sample,1.0
Trigger emulation,0.72513
$p_{T}^{miss} > 250$ GeV,0.4513
$p_{T}^{miss}$ quality filters,0.45008
Electron veto,0.44077
Muon veto,0.43218
Tau veto,0.41166
B jet veto,0.41166
Photon veto,0.40934
"$\Delta\phi(jet,p_{T}^{miss}) > 0.5$ rad",0.36512
$\Delta p_{T}^{miss}$ (PF-Calorimeter) $< 0.5$ rad,0.36444
Leading AK4 jet $p_{T} > 100$ GeV,0.35515
Leading AK4 jet $\eta < 2.4$,0.35515
Leading AK4 jet energy fractions,0.35189
Mono-V overlap removal,0.22429
HCAL mitigation (jets),0.22429
HCAL mitigation ($\phi^{miss}$),0.22429
"$\Delta\phi(\mathrm{PF},\mathrm{Charged}) < 2.0$ rad",0.22415

#: Coupling,Scalar
#: Mode,$\chi\chi$+Z(qq)
#: $m_{med}$,500.0
#: $m_{DM}$,200.0
#: $g_{\chi}$,1.0
#: $g_{q}$,1.0
#: Data-taking period,2017
